Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER,ACTIVE,None,NELSON BROTHERS CONSTRUCTION COMPANY,,"347  W 1600 SOUTH ST
            SALT LAKE CITY, UT   84115",(801) 487-5401,"347  W 1600 SOUTH ST
          SALT LAKE CITY, UT   84115",4522,,,98-017-05,1,1,02/24/2022,"5,000 (2021)"
CARRIER,ACTIVE,None,NELSON & SONS INC,SKRETTING USA,"712 E 2400 N
            TOOELE, UT   84074",(604) 301-2311,"712 E 2400 N
          TOOELE, UT   84074",4526,,,90-934-10,5,1,06/14/2022,"30,000 (2021)"
CARRIER,ACTIVE,None,NORTHWEST PIPELINE SERVICES LLC,WILLIAMS INC,"ONE WILLIAMS CENTER RC2-074-3
            TULSA, OK   74172",(918) 200-2834,"ONE WILLIAMS CENTER RC2-074-3
          TULSA, OK   74172",4530,,,67-977-322,26,77,10/24/2023,"160,000 (2022)"
CARRIER,ACTIVE,None,MIDWEST FLOOR COVERINGS INC,,"810 WEST 2500 SOUTH
            LAKE CITY, UT   84119",(801) 972-1125,"810 WEST 2500 SOUTH
          LAKE CITY, UT   84119",4539,,,--,23,20,09/29/2023,"400,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,MONTANA BRAND PRODUCE COMPANY INC,,"1483 BECK STREET
            SALT LAKE CITY, UT   84116-1212",(801) 532-2573,"1483 BECK STREET
          SALT LAKE CITY, UT   84116-1212",4546,,MC-133979,94-294-81,31,24,07/28/2022,"2,769,561 (2021)"
CARRIER,ACTIVE,None,MOUNTAIN STATES FENCE CO INC,,"3737 SOUTH 500 WEST
            SALT LAKE CITY, UT   84115",(801) 261-4224,"3737 SOUTH 500 WEST
          SALT LAKE CITY, UT   84115",4562,,,42-833-004,12,12,02/09/2022,"136,027 (2021)"
CARRIER,ACTIVE,None,MARK STEEL CORP,,"1230 W 200 S
            SALT LAKE CITY, UT   84104-1808",(801) 521-0670,"P O BOX 16006
          SALT LAKE CITY, UT   84116-0006",4570,,,04-283-5132,1,1,10/22/2008,"10,000 (2002)"
CARRIER,AUTHORIZED FOR Property,None,BOB ORTON,BOB ORTON TRUCKING INC,"550 EAST CENTER STREET
            PANGUITCH, UT   84759",(435) 676-8171,"P O BOX 113
          PANGUITCH, UT   84759",4592,,MC-233813,73-095-341,6,3,02/07/2023,"240,000 (2022)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,BROKEN ARROW INCORPORATED,,"8960 NORTH CLINTON LANDING RD
            LAKEPOINT, UT   84074",(435) 882-3942,"PO BOX 580
          TOOELE, UT   84074",4618,,MC-193026,79-394-32,20,11,10/25/2023,"500,000 (2022)"
CARRIER,ACTIVE,None,EMERY & SONS LLC,,"246 EAST MAIN
            DEERFIELD, MO   64741",(417) 684-7414,"PO BOX 62
          DEERFIELD, MO   64741",4630,,,--,1,1,08/16/2023,"10,000 (2023)"
CARRIER,ACTIVE,None,THE LURIE COMPANIES INC,LURIE GLASS LURIE PANELS,"5656 W CLINTON AVE
            MILWAUKEE, WI   53223",(414) 371-2600,"5656 W CLINTON AVE
          MILWAUKEE, WI   53223",4631,,,--,6,10,01/02/2023,"57,787 (2022)"
CARRIER,AUTHORIZED FOR Property,None,DOUDELL TRUCKING COMPANY,,"1505 N FOURTH ST
            SAN JOSE, CA   95112",(408) 263-7300,"1505 N FOURTH ST
          SAN JOSE, CA   95112",4642,,MC-75302,--,19,1,02/10/2023,"195,000 (2022)"
CARRIER/SHIPPER,ACTIVE,None,MIKE DEMIRJIAN TRUCKING SERVICE INC,,"5408 E JENSEN AVE
            FRESNO, CA   93725",(559) 237-7178,"5408 E JENSEN AVE
          FRESNO, CA   93725",4655,,,--,10,3,06/16/2011,"260,000 (2000)"
CARRIER,ACTIVE,None,LIMESTONE DUST CORPORATION,,"230 ST CLAIRS CROSSING
            BLUEFIELD, VA   24605",(276) 964-5379,"PO BOX 152
          BLUEFIELD, VA   24605",4693,,,37-428-323,10,5,05/13/2022,"282,826 (2019)"
CARRIER,ACTIVE,None,TRUMBO ELECTRIC INC,,"258 N TIMBER WAY
            BROADWAY, VA   22815",(540) 896-7095,"P O BOX 38
          BROADWAY, VA   22815",4702,,,31-407-79,14,48,02/28/2022,"4,171 (2021)"
CARRIER,ACTIVE,None,TRUCK ENTERPRISES INC,,"3440 S MAIN ST
            HARRISONBURG, VA   22801",(540) 564-6932,"3440 S MAIN ST
          HARRISONBURG, VA   22801",4703,,,31-405-30,1,82,03/09/2023,"132,000 (2022)"
CARRIER/CARGO TANK,ACTIVE,None,TREAD CORPORATION,,"176 EASTPARK DR
            ROANOKE, VA   24019",(540) 982-6881,"176 EASTPARK DR
          ROANOKE, VA   24019",4707,,,31-224-05,1,1,07/10/2023,"20,149 (2022)"
CARRIER,ACTIVE,None,VAUGHAN-BASSETT FURNITURE CO INC,,"300 E GRAYSON ST
            GALAX, VA   24333",(276) 236-6161,"300 E GRAYSON ST
          GALAX, VA   24333",4725,,,--,9,7,06/12/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,V F P INC,,"5410 FALLOWATER LANE
            ROANOKE, VA   24018",(540) 444-5733,"5410 FALLOWATER LANE
          ROANOKE, VA   24018",4737,,,31-374-52,24,18,07/28/2023,"600,000 (2022)"
CARRIER,ACTIVE,None,WEST WINDOW CORPORATION,,"INDUSTRIAL PARK
            MARTINSVILLE, VA   24112",(276) 638-2394,"DRAWER  3071
          MARTINSVILLE, VA   24115-3071",4767,,,31-373-95,9,7,07/26/2022,"310,000 (2021)"
CARRIER,NOT AUTHORIZED,None,WAYNESBORO NURSERIES INC,,"2597 LYNDHURST ROAD
            WAYNESBORO, VA   22980",(540) 946-3800,"PO BOX 987
          WAYNESBORO, VA   22980",4777,,MC-499320,24-000-374,4,5,05/09/2023,"37,870 (2022)"
CARRIER,AUTHORIZED FOR Property,None,HERBERT WILKERSON & SON INC,,"3900 MCKINNEY BLVD
            COLONIAL BEACH, VA   22443",(804) 224-7117,"3900 MCKINNEY BLVD
          COLONIAL BEACH, VA   22443",4789,,MC-661557,--,2,2,11/06/2022,"60,000 (2021)"
CARRIER,ACTIVE,None,FRANK T WILLIAMS FARMS INC,,"5021 MORRIS NECK ROAD
            VIRGINIA BEACH, VA   23457",(757) 426-6281,"5021 MORRIS NECK ROAD
          VIRGINIA BEACH, VA   23457",4798,,,--,10,10,04/19/2023,"45,953 (2022)"
CARRIER,ACTIVE,None,WILLIAMSBURG POTTERY FACTORY INC,,"6692 RICHMOND ROAD
            LIGHTFOOT, VA   23090",(757) 564-3326,"PO BOX 123
          LIGHTFOOT, VA   23090-0123",4802,,,00-312-9152,2,2,01/29/2010,
CARRIER,ACTIVE,None,WHITEHURST PAVING CO INC,,"3723 NINE MILE ROAD
            RICHMOND, VA   23223",(804) 264-0707,"3723 NINE MILE ROAD
          RICHMOND, VA   23223",4818,,,--,77,43,02/02/2023,"536,061 (2022)"
CARRIER,ACTIVE,None,WACO INC,,"5450 LEWIS RD
            SANDSTON, VA   23150-1922",(804) 222-8440,"P O BOX 829
          SANDSTON, VA   23150-0829",4857,,,31-405-97,11,11,07/28/2023,"30,000 (2022)"
CARRIER,ACTIVE,None,STABLE FOUNDATIONS LLC,,"12439 MAPLE STREET
            ASHLAND, VA   23005",(804) 798-7880,"PO BOX 52
          ASHLAND, VA   23005",4858,,,82-555-8034,8,11,12/01/2023,"20,000 (2023)"
CARRIER,NOT AUTHORIZED,None,B J Y TRUCKING LLC,,"1991 TRIPLE T RD
            OILVILLE, VA   23129",(804) 516-1641,"1991 TRIPLE T RD
          OILVILLE, VA   23129",4879,,MC-702500,--,1,1,02/16/2016,1 (2015)
CARRIER,ACTIVE,None,SKANSKA USA CIVIL SOUTHEAST INC,SKANSKA,"121 SAMPSON CREEK ROAD
            CHESAPEAKE, VA   23322",(757) 381-4122,"121 SAMPSON CREEK RD
          CHESAPEAKE, VA   23322",4891,,,79-419-58,8,7,01/11/2023,"20,000 (2022)"
CARRIER,ACTIVE,None,USRY INC,,"1215 WILMER AVE
            RICHMOND, VA   23227",(804) 329-1028,"P O BOX 15187
          RICHMOND, VA   23227",4901,,,--,1,1,03/14/2014,"303,395 (2014)"
CARRIER,ACTIVE,None,TIDEWATER LUMBER CORPORATION,,"661 RICHMOND HWY
            TAPPAHANNOCK, VA   22560",(804) 443-4014,"19957 TIDEWATER TRAIL
          TAPPAHANNOCK, VA   22560",4920,,,23-976-301,4,3,08/24/2022,"166,021 (2021)"
CARRIER/SHIPPER,ACTIVE,None,VIRGINIA ELECTRIC & POWER CO,DOMINION ENERGY,"120 TREDEGAR STREET
            RICHMOND, VA   23219",(804) 271-2811,"P O BOX 26666
          RICHMOND, VA   23261-6666",4929,,,79-414-46,894,"1,653",09/07/2022,"4,517,690 (2021)"
CARRIER,ACTIVE,None,SOUTHEASTERN SILO COMPANY OF VA INC,,"530 SQUAW ALLEY
            PETERSBURG, VA   23803",(804) 731-2227,"PO BOX 2228
          PETERSBURG, VA   23804",4961,,,65-408-874,2,1,03/16/2022,"5,000 (2021)"
CARRIER/CARGO TANK,ACTIVE,None,SOUTHERN STATES CO-OPERATIVE INC,,"6606 WEST BROAD STREET
            RICHMOND, VA   23230",(804) 281-1000,"6606 WEST BROAD ST
          RICHMOND, VA   23230",4969,,,89-646-37,464,421,10/19/2023,"4,336,760 (2022)"
CARRIER,ACTIVE,None,STEEL SERVICES INC,,"9800 MAYLAND DRIVE
            RICHMOND, VA   23233-1410",(804) 673-3810,"9800 MAYLAND DRIVE
          RICHMOND, VA   23233-1410",4993,,,89-567-16,24,16,01/16/2023,"744,559 (2022)"
CARRIER,ACTIVE,None,SYDNOR HYDRO INC,,"2111 MAGNOLIA ST
            RICHMOND, VA   23223-2309",(804) 643-2725,"P O BOX 27186
          RICHMOND, VA   23261-7186",5013,,,79-413-88,20,8,01/31/2023,"90,249 (2022)"
CARRIER,AUTHORIZED FOR Property,None,JBS SOUDERTON INC,MOPAC,"741 SOUDER ROAD
            SOUDERTON, PA   18964",(215) 703-6404,"741 SOUDER ROAD
          SOUDERTON, PA   18964",5027,,MC-404558,--,59,47,10/04/2023,"1,976,081 (2023)"
CARRIER,AUTHORIZED FOR Property,None,MOYER & SON INC,MOYER INDOOR OUTDOOR,"113 E RELIANCE RD
            SOUDERTON, PA   18964",(215) 723-6000,"PO BOX 64198
          SOUDERTON, PA   18964",5028,,MC-182972,--,58,53,03/15/2023,"673,000 (2019)"
CARRIER,AUTHORIZED FOR Property,None,MORGAN TRUCK BODY LLC,MORGAN CORPORATION,"111 MORGAN WAY
            MORGANTOWN, PA   19543-0588",(610) 286-5025,"111 MORGAN WAY PO BOX 588
          MORGANTOWN, PA   19543-0588",5033,,MC-344313,23-604-85,17,21,03/29/2023,"160,000 (2022)"
CARRIER,ACTIVE,None,S A MACANGA INC,,"919 CAMARO RUN DR
            WEST CHESTER, PA   19380",(610) 692-5336,"919 CAMARO RUN DRIVE
          WEST CHESTER, PA   19380",5052,,,44-534-097,2,2,07/03/2023,100 (2022)
CARRIER,ACTIVE,None,T BAIRD MCILVAIN COMPANY,TBM HARDWOODS INC,"370 POPLAR ST
            HANOVER, PA   17331-2358",(717) 630-0025,"370 POPLAR ST
          HANOVER, PA   17331-2358",5056,,,97-882-807,5,4,04/28/2023,"253,776 (2022)"
CARRIER,AUTHORIZED FOR Property,None,PETERS BROTHERS INC,,"37 PENN STREET
            LENHARTSVILLE, PA   19534",(610) 562-2275,"PO BOX 61
          LENHARTSVILLE, PA   19534-9302",5095,,MC-156843,24-979-31,72,73,11/21/2023,"61,964,570 (2022)"
CARRIER,ACTIVE,None,GRETZ BEER COMPANY,,"2801 TOWNSHIP LINE RD
            HATFIELD, PA   19440",(610) 272-3530,"2801 TOWNSHIP LINE RD
          HATFIELD, PA   19440",5110,,,14-883-581,44,46,10/19/2017,"601,272 (2016)"
CARRIER/SHIPPER,ACTIVE,None,MISCO PRODUCTS CORPORATION,,"1048 STINSON DRIVE
            READING, PA   19605-9809",(610) 926-4106,"1048 STINSON DRIVE
          READING, PA   19605-9779",5111,,,23-368-99,2,2,11/15/2022,"60,691 (2021)"
CARRIER,ACTIVE,None,LUMBERMEN ASSOCIATES INC,,"2101 HUNTER ROAD
            BRISTOL, PA   19007",(215) 785-4600,"PO BOX 720
          BRISTOL, PA   19007-0720",5127,,,--,10,10,05/10/2022,"495,000 (2021)"
CARRIER,ACTIVE,None,PHILADELPHIA RESERVE SUPPLY CO,,"200 MACK DR
            CROYDON, PA   19021",(800) 347-7726,"200 MACK DR
          CROYDON, PA   19021",5145,,,14-785-182,4,1,05/09/2022,"240,000 (2021)"
CARRIER,ACTIVE,None,PHOENIX MOBILE HOMES INC,,"1330 CHARLESTOWN RD
            PHOENIXVILLE, PA   19460-2335",(610) 933-5627,"1330 CHARLESTOWN RD
          PHOENIXVILLE, PA   19460-2335",5147,,,14-921-407,2,2,07/19/2022,"1,550 (2021)"
CARRIER,ACTIVE,None,A C MILLER CONCRETE PRODUCTS INC,,"31 E BRIDGE STREET
            SPRING CITY, PA   19475",(610) 948-4600,"PO BOX 199
          SPRING CITY, PA   19475",5165,,,24-960-81,16,9,03/11/2022,"675,000 (2019)"
CARRIER,ACTIVE,None,MCNEIL SALES & SERVICE INC,,"15 MARLEN DR
            ROBBINSVILLE, NJ   08691",(609) 890-7007,"15 MARLEN DR
          ROBBINSVILLE, NJ   08691",5173,,,--,5,10,06/12/2023,"75,000 (2022)"
CARRIER,ACTIVE,None,LUKENS STEEL COMPANY,BETHLEHEM LUKENS PLATE,"139 SOUTH MODENA RD
            COATESVILLE, PA   19320-0911",(610) 383-2582,"139 SOUTH MODENA RD
          COATESVILLE, PA   19320-0911",5177,,,15-428-7700,10,25,,"35,000 (1998)"
CARRIER,ACTIVE,None,M LEVIN AND COMPANY INC,,"6700 ESSINGTON AVE H2-H7
            PHILADELPHIA, PA   19153",(215) 336-2900,"6700 ESSINGTON AVE H2-H7
          PHILADELPHIA, PA   19153",5192,,,14-742-027,5,4,02/16/2023,"189,000 (2018)"
CARRIER,ACTIVE,None,B LEVINE TEXTILES INC,,"1840 E RACE ST
            ALLENTOWN, PA   18109",(610) 264-8100,"PO BOX 1148
          ALLENTOWN, PA   18105",5262,,,83-623-1241,1,1,12/06/2021,"10,000 (2017)"
CARRIER,ACTIVE,None,LESCO PAPER & BOX CO,,"651 E WYOMING AVE
            PHILADELPHIA, PA   19120-4627",(215) 537-0700,"PO BOX 46826
          PHILADELPHIA, PA   19160-6826",5263,,,19-917-02,4,3,03/08/2023,"93,662 (2022)"
CARRIER,ACTIVE,None,LASKO METAL PRODUCTS INC,,"300 CONFEDERATE DRIVE
            FRANKLIN, TN   37065-0130",(615) 595-5264,"300 CONFEDERATE DRIVE
          FRANKLIN, TN   37065-0130",5265,,,23-297-79,3,2,05/18/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,HOWER & SON,,"121 BLUE VALLEY DRIVE
            BANGOR, PA   18013-1597",(610) 588-4670,"121 BLUE VALLEY DRIVE
          BANGOR, PA   18013-1597",5273,,,--,3,2,03/29/2011,"3,680 (2010)"
CARRIER,ACTIVE,None,GROSS EQUIPMENT CO,,"1200 ROUTE 100
            BECHTELSVILLE, PA   19505-9054",(610) 367-2685,"1200 ROUTE 100
          BECHTELSVILLE, PA   19505-9054",5318,,,13-851-969,1,1,10/03/2012,127 (2011)
CARRIER,ACTIVE,None,CRAFT-BILT MANUFACTURING CO,,"53 SOUDERTON-HATFIELD PIKE
            SOUDERTON, PA   18964",(215) 721-7700,"53 SOUDERTON-HATFIELD PIKE
          SOUDERTON, PA   18964",5329,,,22-640-00,1,1,09/09/2022,"291,000 (2022)"
CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,CRAFT-MAID KITCHENS INC,CMK,"501 S 9TH ST BLDG C
            READING, PA   19602-2503",(610) 376-8686,"501 S 9TH ST BLDG C
          READING, PA   19602-2503",5330,,,61-101-549,1,1,08/05/2021,"30,584 (2020)"
CARRIER/SHIPPER,ACTIVE,None,DEE PACKAGING SOLUTIONS INC,,"100 BROOMALL ST
            CHESTER, PA   19013",(610) 876-9285,"100 BROOMALL ST
          CHESTER, PA   19013",5347,,,22-648-85,2,2,07/05/2022,"40,000 (2022)"
CARRIER,ACTIVE,None,DELAWARE SHIP SUPPLY CO INC,,"1601 THORN ST
            CAMDEN, NJ   08104",(856) 338-9100,"1601 THORN ST
          CAMDEN, NJ   08104",5351,,,--,5,6,12/11/2023,"20,000 (2020)"
CARRIER,ACTIVE,None,DELAWARE VALLEY STEEL A DIV OF SR METALS INC,,"2249 MANOR AVENUE
            UPPER DARBY, PA   19082-5413",(610) 449-6100,"2249 MANOR AVENUE
          UPPER DARBY, PA   19082",5352,,,15-729-3739,3,3,01/31/2023,"96,756 (2022)"
CARRIER,AUTHORIZED FOR Property,None,HATFIELD QUALITY MEATS INC,,"2700 CLEMENS ROAD
            HATFIELD, PA   19440",(215) 368-2500,"PO BOX 900
          HATFIELD, PA   19440-0902",5360,,MC-261933,23-566-32,3,1,02/17/2023,"3,250 (2022)"
CARRIER,ACTIVE,None,HAJOCA CORPORATION,,"2001 JOSHUA RD
            LAFAYETTE HILL, PA   19444",(225) 295-4237,"2001 JOSHUA RD
          LAFAYETTE HILL, PA   19444-2431",5373,,,13-794-29,987,"1,253",03/21/2023,"18,010,000 (2022)"
CARRIER,NOT AUTHORIZED,None,F C HAAB COMPANY,,"1700 SCHUYLKILL AVE
            PHILADELPHIA, PA   19145",(215) 563-0800,"1700 SCHUYLKILL AVE
          PHILADELPHIA, PA   19145",5379,,,23-200-67,11,5,09/25/2023,"49,333 (2022)"
CARRIER,ACTIVE,None,F AND M EQUIPMENT LTD,KOMATSU,"2240 BETHLEHEM PIKE
            HATFIELD, PA   19440",(775) 748-4637,"2240 BETHLEHEM PIKE
          HATFIELD, PA   19440",5403,,,62-685-0994,68,66,12/06/2022,"897,132 (2021)"
CARRIER,ACTIVE,None,C S GARBER & SONS INC,,"231 OLD PHILADELPHIA PIKE SUITE 1
            DOUGLASSVILLE, PA   19518",(610) 367-2861,"7928 BOYERTOWN PIKE
          BOYERTOWN, PA   19518",5406,,,--,18,11,12/05/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,ELLIOTT & FRANTZ INC,,"450 E CHURCH RD
            KING OF PRUSSIA, PA   19406-2625",(610) 279-5200,"450 EAST CHURCH ROAD
          KING OF PRUSSIA, PA   19406-2625",5420,,,25-161-10,19,31,09/21/2022,"400,000 (2021)"
CARRIER,ACTIVE,None,FITZPATRICK CONTAINER CO,,"6923 SCHANTZ ROAD
            ALLENTOWN, PA   18106",(610) 628-4291,"6923 SCHANTZ ROAD
          ALLENTOWN, PA   18106",5430,,,22-763-92,5,3,10/11/2017,"228,781 (2016)"
CARRIER,ACTIVE,None,FIZZANO BROS CONCRETE PRODUCTS INC,,"1776 CHESTER PIKE
            CRUM LYNNE, PA   19022",(610) 833-1100,"1776 CHESTER PIKE
          CRUM LYNNE, PA   19022",5431,,,14-006-738,17,12,01/27/2023,"413,047 (2022)"
CARRIER,ACTIVE,None,CARPENTER TECHNOLOGY CORP,,"101 BERN ST
            READING, PA   19601-1203",(610) 208-2000,"P O BOX 14662
          READING, PA   19612-4662",5436,,,23-443-15,8,8,08/23/2023,"16,000 (2022)"
SHIPPER,ACTIVE,None,COOPERS CREEK CHEMICAL CORPORATION,,"884 RIVER ROAD
            WEST CONSHOHOCKEN, PA   19428",(610) 828-0375,"884 RIVER ROAD
          WEST CONSHOHOCKEN, PA   19428",5440,,,23-438-20,,,11/04/2020,
CARRIER,ACTIVE,None,JOHN GOFFREDO & SONS INC,,"269 BLUE VALLEY DR
            BANGOR, PA   18013",(610) 588-2171,"269 BLUE VALLEY DR
          BANGOR, PA   18013",5475,,,--,1,2,,"5,000 (1997)"
CARRIER,ACTIVE,None,HERMAN GOLDNER CO INC,,"7777 BREWSTER AVE
            PHILADELPHIA, PA   19153-3210",(215) 492-5900,"7777 BREWSTER AVE
          PHILADELPHIA, PA   19153-3210",5478,,,89-377-65,6,5,08/10/2023,"35,634 (2022)"
CARRIER,ACTIVE,None,PROCACCI BROTHERS SALES CORP,,"3333 S FRONT STREET
            PHILADELPHIA, PA   19148",(215) 463-8000,"3333 S FRONT STREET
          PHILADELPHIA, PA   19148",5493,,,22-710-21,6,6,11/09/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,POTTSTOWN ROLLER MILLS INC,,"625 INDUSTRIAL HIGHWAY
            POTTSTOWN, PA   19464",(610) 323-8620,"625 INDUSTRIAL HIGHWAY
          POTTSTOWN, PA   19464",5497,,,14-477-871,1,1,07/06/2023,"10,493 (2022)"
CARRIER,AUTHORIZED FOR Property,None,FEESERS INC,FEESERS FOOD DISTRIBUTORS,"5561 GRAYSON ROAD
            HARRISBURG, PA   17111",(717) 564-4636,"PO BOX 4055
          HARRISBURG, PA   17111",5508,,MC-1141356,14-180-350,81,63,07/27/2023,"2,167,602 (2022)"
CARRIER,ACTIVE,None,FIRESTONE MOTOR INC,,"330 S 3RD ST
            LEMOYNE, PA   17043-1916",(717) 763-7721,"330 S 3RD ST
          LEMOYNE, PA   17043-1916",5511,,,09-787-8946,2,1,12/21/2004,
CARRIER,ACTIVE,None,CARL E FISHER,,"223 MIDDLE RD
            MCVEYTOWN, PA   17051",(717) 242-0941,"223 MIDDLE RD
          MCVEYTOWN, PA   17051",5512,,,--,4,3,06/21/2023,"40,000 (2022)"
CARRIER,ACTIVE,None,FOREMOST INDUSTRIES INC,,"11420 SANTA MONICA BLVD #251961
            LOS ANGELES, CA   90025",(212) 245-3265,"11420 SANTA MONICA BLVD #25196
          LOS ANGELES, CA   90025",5521,,,34-099-50,4,4,12/31/2020,1 (2019)
CARRIER,ACTIVE,None,FORRESTER FARMS LTD,,"3162 WHITE CHURCH ROAD
            CHAMBERSBURG, PA   17202-1720",(717) 372-5751,"3162 WHITE CHURCH ROAD
          CHAMBERSBURG, PA   17202-1720",5524,,,--,5,4,09/13/2023,"100,000 (2021)"
CARRIER,ACTIVE,None,MILES FRY & SON INC,FRYSVILLE FARMS,"300 FRYSVILLE RD
            EPHRATA, PA   17522",(717) 354-4501,"300 FRYSVILLE RD
          EPHRATA, PA   17522",5538,,,--,4,4,04/05/2023,"40,000 (2023)"
CARRIER/SHIPPER,ACTIVE,None,J L G INDUSTRIES INC,,"1 JLG DRIVE
            MCCONNELLSBURG, PA   17233",(920) 237-4257,"1 JLG DRIVE
          MCCONNELLSBURG, PA   17233",5540,,,43-887-728,5,5,11/20/2019,"100,000 (2018)"
CARRIER,AUTHORIZED FOR Property,None,JAY FULKROAD & SONS INC,,"2736 FREE SPRING CHURCH ROAD
            MCALISTERVILLE, PA   17049-9600",(717) 463-3701,"2736 FREE SPRING CHURCH ROAD
          MC ALISTERVILLE, PA   17049-9600",5541,,MC-333218,14-365-878,10,4,11/15/2023,"30,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,T C DAUBERT LLC,T C DAUBERT TRUCKING,"35 RESERVE LANE
            YEAGERTOWN, PA   17099",(717) 248-4091,"P O BOX 364
          YEAGERTOWN, PA   17099",5549,,MC-210768,49-034-044,42,44,09/26/2023,"2,810,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,E & F TRUCKING INC,,"1885 N READING RD
            DENVER, PA   17517-9322",(717) 336-4948,"1885 N READING RD
          DENVER, PA   17517-9322",5572,,MC-153862,49-035-751,17,17,02/10/2023,"1,697,037 (2022)"
CARRIER,AUTHORIZED FOR Property,None,EMPIRE KOSHER POULTRY INC,,"247 EMPIRE DRIVE
            MIFFLINTOWN, PA   17059",(717) 436-7051,"247 EMPIRE DRIVE
          MIFFLINTOWN, PA   17059",5583,,MC-339742,30-445-67,21,17,10/20/2022,"1,103,220 (2021)"
CARRIER,ACTIVE,None,BAG PROCESSORS INC,,"131 W ALLEN ST
            MECHANICSBURG, PA   17055-6248",(717) 766-0703,"131 W ALLEN ST
          MECHANICSBURG, PA   17055-6248",5599,,,14-385-793,2,3,09/29/2023,"50,000 (2023)"
CARRIER,AUTHORIZED FOR Property,None,BEAVERTOWN TRANSPORT INC,,"3612 PAXTONVILLE ROAD
            MIDDLEBURG, PA   17842",(570) 837-1744,"3612 PAXTONVILLE ROAD
          MIDDLEBURG, PA   17842",5612,,MC-1546615,30-106-18,16,7,08/08/2023,"308,252 (2022)"
CARRIER,ACTIVE,None,GREAT AMERICAN BEER COMPANY,BREWERY PRODUCTS COMPANY,"1017 N SHERMAN ST
            YORK, PA   17402",(717) 757-3515,"1017 N SHERMAN ST
          YORK, PA   17402",5651,,,15-145-030,24,29,01/12/2023,"513,000 (2022)"
CARRIER,ACTIVE,None,CAPITOL IRON AND STEEL CO INC,,"7TH & KELKER STREETS
            HARRISBURG, PA   17110",(717) 232-0536,"P O BOX 5201
          HARRISBURG, PA   17110-0201",5679,,,01-417-7331,1,2,09/18/2003,
CARRIER,ACTIVE,None,CLAIR GLOBAL CORPORATION,,"ONE ELLEN AVE
            LITITZ, PA   17543",(717) 626-4000,"PO BOX 396
          LITITZ, PA   17543",5693,,,43-888-916,15,55,12/14/2023,"275,880 (2022)"
CARRIER,AUTHORIZED FOR Property,None,CLOUSE TRUCKING INC,,"2075 RITNER HWY
            CARLISLE, PA   17015",(717) 249-2418,"2075 RITNER HWY
          CARLISLE, PA   17015",5706,,MC-174778,13-931-415,50,57,11/22/2023,"1,928,522 (2021)"
CARRIER,AUTHORIZED FOR Property,None,COLONIAL METALS CO,,"217 LINDEN ST
            COLUMBIA, PA   17512-0311",(717) 684-2311,"P O BOX 311
          COLUMBIA, PA   17512-0311",5712,,MC-303667,30-026-31,3,1,03/01/2017,"10,000 (2016)"
CARRIER,NOT AUTHORIZED,None,CONOY TRUCKING INC,,"2112 BAINBRIDGE RD
            ELIZABETHTOWN, PA   17022-9539",(717) 367-7403,"2112 BAINBRIDGE RD
          ELIZABETHTOWN, PA   17022-9539",5716,,MC-236217,05-900-1800,3,4,05/31/2005,"181,000 (2004)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,CHARLES E CROWE & SON INC,CROWE TRANSPORTATION,"2388 N MARKET ST
            ELIZABETHTOWN, PA   17022",(717) 572-9876,"2388 N MARKET ST
          ELIZABETHTOWN, PA   17022",5723,,MC-305041,39-751-979,28,29,03/10/2022,"1,660,471 (2021)"
CARRIER/SHIPPER,ACTIVE,None,UNIVERSAL PROJECTS INC,ACE DISTRIBUTING,"100 MIFFLIN DRIVE
            WRIGHTSVILLE, PA   17368",(717) 755-0774,"100 MIFFLIN DRIVE
          WRIGHTSVILLE, PA   17368",5734,,,15-143-597,45,41,04/17/2023,"782,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,ROBERT G HACK TRUCKING LLC,,"509 SWAMP RD
            MIFFLINTOWN, PA   17059-7396",(717) 994-7315,"509 SWAMP RD
          MIFFLINTOWN, PA   17059",5771,,MC-202614,--,3,2,01/17/2023,"176,900 (2022)"
CARRIER,AUTHORIZED FOR Property,None,HAMILTON EQUIPMENT INC,,"34 HESS RD
            LEOLA, PA   17540",(717) 656-8994,"P.O. BOX 478
          EPHRATA, PA   17522",5777,,MC-781891,30-294-51,1,3,07/07/2023,"5,000 (2022)"
